Date,Open,High,Low,Close,Adj Close,Volume
2021-10-05,71.070000,73.489998,71.029999,72.580002,72.367393,4108100
2021-10-06,71.230003,73.610001,70.849998,73.489998,73.274719,4254100
2021-10-07,74.760002,75.940002,74.570000,74.839996,74.620766,2628100
2021-10-08,75.309998,75.379997,73.870003,74.080002,73.862999,2292500
2021-10-11,73.459999,74.910004,72.910004,72.949997,72.736305,2166500
2021-10-12,73.559998,73.720001,72.169998,72.459999,72.247742,2466200
2021-10-13,73.379997,73.860001,72.570000,73.599998,73.384399,2286700
2021-10-14,75.099998,76.389999,74.830002,76.300003,76.076492,2764000
2021-10-15,76.820000,77.300003,76.389999,77.260002,77.033684,1899500
2021-10-18,76.709999,78.889999,76.459999,78.820000,78.589111,2288900
2021-10-19,79.279999,80.019997,78.989998,79.970001,79.735741,1981800
2021-10-20,80.209999,80.449997,79.139999,79.779999,79.546295,1901100
2021-10-21,79.440002,80.830002,79.290001,80.760002,80.523430,1533300
2021-10-22,80.190002,80.610001,78.660004,79.379997,79.147469,2451200
2021-10-25,80.010002,81.410004,79.169998,81.000000,80.762726,2402300
2021-10-26,82.000000,83.059998,81.010002,81.449997,81.211403,2715300
2021-10-27,81.730003,83.239998,81.610001,81.870003,81.630180,1995800
2021-10-28,82.730003,83.809998,82.410004,83.720001,83.474754,1797900
2021-10-29,82.320000,84.599998,82.169998,84.540001,84.292358,2191200
2021-11-01,84.739998,85.139999,83.790001,85.110001,84.860687,2152300
2021-11-02,84.820000,86.029999,84.809998,85.830002,85.578575,1620200
2021-11-03,86.010002,87.809998,85.559998,87.639999,87.383270,2401700
2021-11-04,88.209999,90.309998,87.949997,89.860001,89.596771,2529400
2021-11-05,90.690002,91.129997,89.400002,90.040001,89.776245,2694000
2021-11-08,90.019997,90.489998,89.489998,89.800003,89.536949,1932900
2021-11-09,90.300003,90.449997,87.919998,88.529999,88.270668,2931500
2021-11-10,87.239998,88.550003,85.059998,85.949997,85.698219,3791100
2021-11-11,87.300003,87.370003,86.250000,86.430000,86.176819,2064500
2021-11-12,86.919998,88.470001,86.209999,88.239998,87.981514,1792200
2021-11-15,88.769997,88.910004,87.059998,88.209999,87.951599,2496800
2021-11-16,87.860001,89.660004,87.800003,89.449997,89.187965,2578200
2021-11-17,89.589996,90.459999,89.110001,89.529999,89.267738,1791900
2021-11-18,90.470001,91.599998,89.440002,91.370003,91.102348,3302500
2021-11-19,92.129997,92.980003,91.739998,92.379997,92.109383,2037800
2021-11-22,93.110001,94.540001,90.199997,90.269997,90.005569,4330800
